Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm)
55.1,16.0,230.0
44.5,14.7,214.0
45.2,15.8,215.0
49.8,17.3,198.0
51.3,19.9,198.0
44.1,19.7,196.0
49.6,18.2,193.0
46.9,16.6,192.0
48.7,15.7,208.0
39.7,18.9,184.0
42.0,19.5,200.0
39.5,17.4,186.0
42.3,21.2,191.0
34.6,17.2,189.0
50.7,19.7,203.0
36.4,17.0,195.0
49.6,15.0,216.0
41.1,18.1,205.0
35.0,17.9,190.0
50.5,15.9,222.0
45.1,14.5,215.0
38.6,21.2,191.0
38.3,19.2,189.0
50.1,15.0,225.0
45.9,17.1,190.0
47.2,13.7,214.0
38.1,17.6,187.0
43.4,14.4,218.0
46.2,14.1,217.0
46.3,15.8,215.0
34.5,18.1,187.0
39.6,17.7,186.0
43.2,16.6,187.0
52.0,20.7,210.0
45.2,14.8,212.0
47.5,16.8,199.0
58.0,17.8,181.0
36.5,16.6,181.0
36.0,17.9,190.0
49.3,15.7,217.0
45.1,14.5,207.0
37.7,18.7,180.0
49.5,16.1,224.0
46.0,18.9,195.0
43.8,13.9,208.0
53.5,19.9,205.0
46.5,14.8,217.0
44.4,17.3,219.0
47.5,14.0,212.0
37.8,18.1,193.0
38.5,17.9,190.0
41.5,18.5,201.0
43.2,18.5,192.0
36.9,18.6,189.0
50.5,15.2,216.0
45.7,17.0,195.0
37.7,19.8,198.0
49.9,16.1,213.0
37.8,18.3,174.0
47.6,18.3,195.0
39.7,18.4,190.0
38.6,17.2,199.0
46.6,14.2,210.0
37.7,16.0,183.0
