Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points
3279,8,67,14,787,231,225,824
2521,6,268,62,210,209,229,395
2952,9,30,-6,4763,235,225,4797
3028,13,127,24,2730,200,215,1034
3288,21,624,194,3293,159,216,3483
2968,7,576,72,6050,213,247,5916
3147,12,361,66,1412,235,219,3360
2926,16,120,23,5037,189,252,1524
2870,6,551,96,3810,230,235,5909
3194,17,270,55,2406,174,223,300
3139,18,524,-9,5922,242,235,1383
3098,18,153,40,3632,166,234,755
2423,19,190,53,1120,229,245,1433
2721,15,0,0,2214,180,228,362
3175,10,270,33,3397,232,241,607
2929,4,67,3,5076,225,233,3314
2922,22,408,178,2881,198,254,1209
2894,28,150,65,2393,182,253,2043
2443,18,150,65,589,167,238,408
2719,16,67,19,2175,191,212,6367
2971,25,90,-4,2234,203,252,1847
2475,12,212,23,607,195,223,1332
2616,17,67,10,1273,214,200,1875
3031,6,0,0,6672,224,228,3194
3210,9,108,9,5597,218,248,1032
3153,4,277,116,2250,226,237,1116
2595,19,295,174,1776,194,254,543
2687,22,127,49,2581,156,216,1206
2673,18,60,15,1679,198,201,6386
3105,15,330,-10,908,244,221,1205
3376,8,162,27,2778,231,226,1614
3240,12,127,17,3602,186,242,1718
2813,25,402,63,1383,161,192,1198
3226,18,90,-1,2520,223,199,1518
2678,21,120,39,1909,242,234,1466
2720,9,108,7,2193,234,238,4195
3041,8,210,59,6313,229,225,3343
2967,2,234,25,1814,216,240,2190
2890,5,240,0,1842,228,234,1374
2757,10,134,15,660,228,220,2274
2893,8,591,38,2858,218,223,3466
2861,7,30,3,1638,214,226,1205
2990,22,457,174,666,223,187,765
3222,5,0,0,5989,216,229,474
2419,20,67,19,926,213,191,1284
2913,11,150,7,2962,196,223,1615
2998,10,258,39,5622,222,247,2182
2585,15,30,0,1648,226,247,2809
2715,8,108,18,2415,203,229,4609
2952,17,212,55,3889,246,228,5243
3270,9,268,30,3302,219,248,1262
2507,8,150,2,960,234,236,4915
3242,6,564,8,424,205,243,755
3361,13,1048,122,2737,224,248,1924
3380,10,524,112,3435,211,250,162
2501,5,210,20,912,227,239,4668
2959,6,300,20,2460,226,227,2250
2685,10,277,34,495,237,225,1681
3326,17,67,20,4027,202,202,977
2364,8,0,0,534,199,237,1358
3029,7,90,14,3392,203,232,1806
2331,20,30,6,1290,177,205,201
2394,28,180,64,711,137,197,524
2971,12,60,4,4575,199,250,1883
2685,17,242,1,1443,246,226,860
2925,7,201,4,2005,213,247,1762
2677,7,297,54,1396,217,224,1410
2781,15,150,17,1598,240,213,2024
3175,11,30,0,3441,239,225,433
3250,6,558,75,3207,227,228,2995
2924,25,0,0,365,253,204,1597
2675,24,120,40,313,249,222,499
3275,10,242,-1,3985,238,229,2359
2976,16,30,10,1487,190,210,1366
2939,9,335,-19,4115,235,236,5768
2956,4,234,10,1436,224,233,272
2929,7,309,-2,4306,229,240,5784
2568,9,190,33,979,209,224,2192
2487,29,30,-16,426,205,247,1034
2772,11,484,-18,834,224,216,2689
2890,14,42,3,547,206,211,2486
2866,9,395,17,2866,223,246,2603
2900,14,391,-38,5372,225,248,3930
2773,2,30,1,2617,223,236,1958
2577,20,90,26,964,180,201,532
3053,7,42,0,3550,223,224,531
3282,14,474,54,1832,185,223,811
3165,30,537,163,785,238,228,1409
3071,5,366,36,2177,213,231,1310
2149,22,255,9,525,165,205,702
3100,5,150,17,7023,229,231,2603
2566,8,60,3,1429,226,244,1036
2922,8,540,124,2848,225,222,376
2914,23,240,107,242,251,202,1044
3014,9,124,23,3847,227,221,5501
3262,15,426,93,1436,236,210,1440
2694,41,180,51,1167,145,126,1831
3161,9,30,2,700,201,228,1271
2945,17,285,6,5796,244,232,3515
2755,27,90,30,2215,249,186,331
3166,12,295,38,2667,203,251,636
2482,4,170,46,467,223,241,598
2193,41,531,126,551,134,131,752
3327,5,660,125,819,207,241,1026
2949,9,30,4,2554,198,231,760
2891,17,42,-2,3411,220,199,1674
3313,34,134,50,2193,250,170,722
2255,34,150,111,511,118,182,481
2538,29,323,-52,404,247,217,1120
2854,4,335,53,3462,225,234,6339
2144,27,67,5,690,243,226,722
2968,5,134,13,4288,226,229,1987
2742,8,418,71,2430,215,224,2037
3285,15,240,10,2742,187,249,633
2858,10,134,16,2341,218,218,1103
3215,19,240,77,1704,246,207,2598
3252,17,210,46,1920,219,250,1556
1990,19,124,58,120,214,195,201
3239,14,30,9,1866,193,217,1760
2969,17,362,56,5258,174,244,1617
3053,35,362,69,277,127,169,1159
2781,6,228,44,1736,202,238,2336
2706,11,153,39,1180,189,234,1834
2742,25,270,111,1256,206,178,1966
3040,23,180,3,3129,186,254,1714
2936,7,242,57,3171,202,233,2177
3059,12,390,72,1744,214,250,3681
2657,1,180,9,1369,220,236,6121
2685,34,67,39,977,122,236,1416
2983,16,633,39,2888,230,245,2348
2830,11,335,158,1194,233,220,742
3188,19,510,78,1024,194,254,2835
3124,20,255,48,785,209,192,1622
2955,20,210,13,2553,219,250,870
2665,10,95,14,1824,237,232,418
3296,11,240,28,3663,215,217,2142
3254,15,459,55,558,185,219,1140
2846,11,67,4,1282,210,217,2480
3176,19,60,9,3089,249,220,1114
3060,15,212,-22,1390,213,206,553
2719,13,566,106,716,236,216,2669
2032,30,134,111,162,181,164,417
3086,16,60,14,2883,192,209,2206
3255,18,180,40,1831,237,203,2320
2933,14,127,23,3043,185,223,2201
3136,4,691,114,2476,209,237,1350
2891,11,95,37,874,214,217,569
2353,32,175,91,1347,249,209,594
2738,10,30,3,2372,192,236,469
3237,22,450,4,2171,191,254,1041
2894,16,408,75,1590,203,205,2893
3011,7,404,54,424,230,240,1448
2596,6,162,1,685,225,228,5638
3071,6,95,4,1624,211,229,1718
3169,9,424,53,1988,230,223,3037
3207,7,0,0,1926,228,226,1785
2808,2,360,-1,2047,223,237,2173
2912,10,30,5,1945,196,245,1205
3209,22,182,60,3013,179,253,931
2898,25,404,103,3191,225,179,865
3214,17,404,11,1543,244,232,1485
3393,21,417,138,3438,187,254,721
3215,12,335,33,2241,229,245,1682
3174,13,379,58,2173,242,226,2922
2582,6,85,12,2397,224,228,2507
3156,5,162,25,3120,205,237,806
2990,13,297,50,313,236,239,1471
2939,8,134,20,3871,232,226,5304
2741,17,108,24,420,238,239,2493
2998,12,330,26,5312,211,214,6374
3095,8,30,4,4002,209,225,1879
2688,6,0,0,1645,217,227,1370
3043,10,573,132,3086,222,247,782
3156,25,390,51,2575,228,242,3359
2817,4,67,1,1132,213,242,182
2620,29,351,183,779,142,190,1332
2909,22,300,-31,335,242,195,859
3008,8,566,43,5499,223,223,5827
3341,13,85,13,3654,202,214,2870
3230,9,258,32,685,223,221,1277
2684,16,335,32,953,235,206,1812
3241,16,871,38,1690,194,209,900
2651,14,242,68,1167,200,213,1006
3281,11,162,13,5805,233,219,624
2444,32,150,39,366,185,154,524
2921,7,297,15,2346,210,228,2435
2970,14,451,75,959,197,214,1842
3132,22,713,-42,4147,226,187,4117
3065,7,492,149,3150,201,236,2032
2863,11,268,43,805,233,220,2661
2784,18,108,42,2370,166,229,600
3190,17,90,4,1538,246,226,1693
3222,3,150,2,1842,224,234,845
3165,11,258,91,4429,190,243,1215
3304,8,799,29,2177,199,233,854
3092,16,134,56,537,174,236,1376
2995,7,638,76,5665,219,246,3842
2258,36,309,173,1489,100,215,860
2797,44,270,159,1495,70,206,1390
2926,9,150,7,4981,235,225,3448
3256,6,680,72,731,204,238,895
2185,26,400,290,424,139,223,361
3373,8,437,-2,3076,199,241,1888
3197,7,120,38,2375,220,224,2674
2841,5,0,0,3039,213,231,3038
2009,38,365,158,342,144,141,912
3275,15,268,57,4221,175,234,1889
2995,22,192,47,720,210,252,1648
2627,13,67,-3,937,205,215,1683
2615,14,120,-4,1237,228,211,218
2924,16,573,128,2340,181,249,1766
3132,15,342,94,268,244,224,1602
2683,9,319,58,926,202,227,2905
2972,25,270,105,6125,253,201,4156
3197,23,30,10,4374,163,201,3625
2968,13,30,9,3670,191,220,2490
3071,11,120,4,1294,221,216,1249
2330,24,484,192,706,148,233,1531
2258,22,350,112,514,173,199,270
2791,9,0,0,2143,229,223,2103
3438,18,799,240,4832,167,237,2960
2998,12,201,26,5189,226,246,6207
3229,24,201,45,3294,242,231,2838
2995,21,0,0,2525,199,190,1805
3171,14,474,64,5770,215,209,934
2944,13,424,17,2514,224,212,2430
3157,11,503,22,2096,226,217,1074
2872,9,216,-6,977,235,236,2557
3030,14,124,19,1812,230,211,1804
2862,13,134,11,3132,240,221,4262
2867,4,60,2,1376,220,231,2227
2502,15,0,0,1338,226,207,1473
2369,12,120,50,1075,213,213,824
3142,11,277,69,5467,207,251,1464
3292,12,283,17,1717,219,213,4878
3328,3,90,2,1302,210,238,1848
2490,15,216,27,60,176,232,531
3101,15,268,-4,2322,229,206,1489
3212,26,242,99,1001,253,208,1871
3028,7,0,0,930,212,225,1521
3164,20,60,5,1507,239,238,598
2988,5,537,71,5495,211,244,2773
2896,26,162,95,2609,183,253,649
2985,6,361,66,1767,229,237,2676
3273,8,339,52,3751,219,247,2623
3217,19,210,63,4593,163,238,3396
2860,27,120,33,5455,251,189,4468
3044,10,518,40,5633,236,227,4013
2965,14,400,44,2058,210,252,2059
3353,30,430,119,1830,239,169,2067
3137,18,270,66,175,232,244,850
3044,14,713,177,6120,189,250,3680
3196,17,551,64,595,247,220,5745
3252,9,480,109,4455,197,243,1127
2279,28,108,-12,1319,140,196,920
2148,25,60,12,339,239,233,524
2308,10,30,1,192,218,218,1159
3024,12,446,177,6254,237,218,3982
2978,10,339,138,5340,192,232,5031
2757,7,270,24,2549,231,231,5735
2838,7,150,9,2947,227,226,4389
2975,5,295,125,2496,215,230,2118
2998,10,212,39,5581,219,248,2164
3219,20,255,72,1358,193,254,4397
2429,11,30,4,1707,199,221,242
3386,9,283,22,1697,197,231,768
3106,12,335,70,3144,195,249,603
3060,14,42,7,2069,210,252,108
3280,9,85,15,6321,195,233,90
2873,10,180,38,2823,194,231,2089
3210,12,390,77,2779,188,244,836
2919,10,268,13,5421,194,245,5043
2636,6,60,5,1655,230,238,339
3184,22,323,80,2844,250,206,1598
2720,12,418,42,2420,212,213,1681
3099,14,371,40,430,211,252,1356
2983,7,212,32,1317,229,239,1073
2911,7,150,16,2100,206,246,711
2932,14,953,137,2614,196,252,1339
2282,15,42,11,661,192,213,582
3113,17,0,0,1315,216,201,2524
3068,1,216,0,2353,216,236,1965
3142,12,175,36,3313,240,225,3197
2671,23,192,79,828,216,184,1802
3412,10,277,39,2340,192,233,2654
2770,9,150,20,2112,198,228,2707
2435,3,0,0,1150,225,238,713
2863,8,175,53,2229,200,244,2603
2856,24,124,32,1077,147,219,1385
3031,18,1121,187,3031,193,254,1237
3110,22,1050,163,3208,239,236,1900
3027,6,277,4,1907,204,235,1605
3004,14,256,8,1053,226,208,1637
2873,16,342,75,3328,194,210,524
3379,4,216,16,1660,208,239,834
3213,29,481,-7,1761,189,251,3606
2986,18,342,60,5322,174,247,1552
2702,9,134,3,2138,230,223,7006
2926,23,242,82,2347,172,193,1855
3257,13,371,36,3523,219,210,3890
3247,15,426,87,4050,178,233,2230
2700,8,67,13,2346,233,227,1999
2593,15,216,23,2571,203,208,2656
3655,5,638,243,2971,213,230,1282
2764,17,170,30,1019,229,201,721
3275,16,242,5,3479,245,223,1231
2674,11,459,130,1172,230,216,1332
2941,16,95,16,1091,187,215,2250
3108,5,295,0,2467,212,231,859
3132,7,277,19,6615,229,241,2347
3215,19,301,102,1071,243,205,1945
2830,25,182,71,283,144,212,1008
3131,21,134,40,4972,239,237,1516
3257,14,108,26,1732,219,209,2763
3106,9,30,3,3120,223,220,5200
3284,2,446,44,5130,217,240,845
3184,8,108,11,4332,203,229,631
3346,13,90,17,850,241,232,3931
3112,7,175,15,1530,214,225,1283
3119,17,285,38,1405,195,204,2802
2482,33,60,6,644,207,241,1101
3207,15,319,59,3840,178,226,2030
2922,10,553,130,4480,213,219,5308
2943,17,240,-16,382,241,207,967
3109,13,216,42,3211,235,241,3048
3173,19,532,82,3904,178,251,983
2625,9,192,24,553,235,226,1350
3104,26,420,168,1550,252,196,2619
2714,7,258,25,2122,227,226,5644
2797,27,175,118,1889,136,230,1213
2852,3,0,0,5518,225,238,722
3191,13,150,16,564,184,239,1324
2574,32,30,15,1974,161,250,446
3131,10,631,90,624,220,248,1790
2925,27,42,19,2592,186,253,1797
2956,5,426,24,3998,218,230,4694
3209,15,655,62,2701,182,224,162
3219,21,323,83,967,204,188,5167
2932,10,60,1,1868,201,249,1338
3131,7,90,24,569,204,230,947
3261,18,594,97,2697,202,201,3427
3247,21,366,109,933,188,254,4656
2661,7,234,45,1158,212,226,882
3449,12,0,0,2015,230,215,3238
3086,5,0,0,3157,206,234,5260
2660,32,127,60,2992,159,249,1354
2588,14,85,20,1325,242,218,743
2562,10,30,-3,2324,220,248,2126
3236,15,90,15,1296,205,253,752
2955,12,210,36,3759,225,214,5322
2968,8,424,52,5474,202,245,3753
3094,14,170,53,569,180,231,1205
3150,20,589,214,1318,250,213,2400
2762,12,484,105,2737,197,221,1465
2937,12,693,95,2657,208,251,1692
2715,19,212,17,960,171,213,2278
3289,15,124,6,3395,216,205,2748
2098,28,180,48,240,231,170,424
3011,12,457,92,5626,204,251,3055
2809,3,532,21,845,220,232,1307
3210,15,256,72,1590,242,216,2646
2910,13,120,8,2388,232,243,2713
3679,14,1082,270,5053,209,210,3409
3340,10,350,61,3546,218,249,1518
2573,17,124,32,595,245,211,2230
3227,2,30,1,3301,223,237,2046
3146,19,162,8,1806,249,217,2055
2955,10,342,-6,4187,237,228,2138
3196,5,324,18,5521,223,229,2799
3388,13,883,160,2280,188,224,1200
2915,28,256,7,268,201,167,1518
3214,14,108,9,2969,232,211,4966
3001,15,408,39,5854,183,247,1825
2725,5,335,36,2151,217,229,5792
2998,15,450,108,5340,181,246,990
3352,20,924,149,2087,182,202,553
2335,8,313,-67,0,199,233,582
3086,11,0,0,1348,239,224,1253
2574,7,212,17,1263,230,227,4858
3468,17,120,-14,1740,246,215,1765
3218,18,42,6,4430,206,199,3463
2752,22,60,16,3301,168,204,6006
3239,14,60,7,1626,222,209,890
3210,8,258,29,1678,213,223,1982
3021,12,624,56,5468,219,213,5586
3303,12,480,28,2477,191,226,781
2207,26,573,50,642,162,250,942
3229,10,201,1,3612,215,249,1620
3180,13,351,62,2795,214,212,1026
3195,33,757,314,1195,237,221,2856
2942,14,661,144,2837,227,209,497
2909,2,323,16,3957,216,234,3721
2587,6,150,9,940,223,227,1507
2431,28,120,43,731,247,181,1172
3185,12,272,48,1489,216,213,124
3319,7,532,104,2093,222,225,2274
3080,15,190,3,2135,181,222,1645
3255,8,85,10,5500,234,235,780
3089,14,153,-7,779,239,216,1652
2840,14,268,37,3421,224,209,5228
3070,11,134,15,3475,237,235,782
2531,10,335,9,1140,227,219,4109
2949,24,228,65,4608,245,191,1889
3292,4,67,1,5731,223,241,626
3029,1,511,111,2980,217,240,1816
2989,12,95,12,966,240,229,2186
2986,13,120,-1,1215,240,234,1852
2916,6,570,3,3703,222,244,4101
2640,33,0,0,2581,112,219,6720
3336,42,390,213,3038,241,189,3048
3277,8,361,55,3755,219,247,2598
2182,31,212,109,691,122,203,335
2988,11,255,26,3163,224,217,6519
2784,11,30,-1,3905,231,243,1243
3021,5,210,30,2919,207,234,6087
3325,10,212,12,1998,220,218,2040
2639,15,190,24,1958,219,205,2184
3257,3,210,41,626,213,234,968
3325,20,342,62,1168,180,204,708
2248,10,30,1,1184,236,226,706
3098,31,361,102,421,144,177,2022
2784,20,30,9,2066,246,203,1631
3228,27,384,182,3630,254,199,2193
2839,17,108,13,2469,247,223,2698
2873,17,30,6,6292,171,227,4392
3234,12,1072,33,4014,206,215,2436
2714,17,212,15,2225,215,201,7080
2726,3,162,-1,1543,215,234,4057
3023,21,404,156,1804,242,198,2771
3225,19,67,16,1616,233,199,2643
2906,28,240,79,5590,250,186,4444
3108,19,170,30,4807,213,195,3095
3095,10,175,11,2995,208,221,1506
2466,22,256,3,120,153,231,553
2620,17,319,92,582,243,209,1592
2995,10,488,76,5117,223,218,5691
2787,9,124,9,2434,206,248,1989
3072,21,513,143,6091,160,240,1561
2619,25,90,36,1475,188,180,6651
3074,11,366,59,2200,229,244,1530
3066,9,297,60,1036,218,220,1320
2650,13,342,3,1113,242,225,402
2512,32,60,37,607,253,180,1167
2898,7,361,66,808,206,246,1611
2134,36,120,112,342,212,141,240
2765,24,192,61,1077,150,208,2359
3374,9,309,82,2714,206,248,1080
2063,18,30,1,912,247,212,190
3168,9,510,84,5930,207,249,2508
3324,23,95,54,5773,242,192,738
3046,16,90,33,540,242,233,1040
2868,13,201,45,2666,237,217,2905
3145,10,484,43,1731,209,219,2681
2762,8,0,0,967,197,234,1626
3090,6,0,0,4770,204,234,2471
2906,15,258,10,5739,188,250,6280
3224,26,430,70,4857,227,176,3315
3279,4,618,45,577,209,238,782
2514,22,192,31,537,212,187,1342
3352,9,210,36,3750,199,246,1950
3003,24,134,54,1383,147,227,2178
3147,13,351,81,5788,189,247,2279
2516,33,297,115,1112,123,184,900
2989,11,342,74,2861,194,227,1471
2407,4,30,0,1541,210,242,488
3040,13,67,10,2696,241,232,2970
2951,14,295,45,3137,186,222,1552
3151,8,342,57,2323,229,241,902
3183,5,242,7,4905,206,242,2423
2944,10,658,75,1153,231,220,1579
2962,20,42,13,3990,249,223,1057
3080,3,60,4,1667,218,232,767
2810,15,95,14,2483,184,220,1233
3230,22,256,33,3425,154,220,1922
3339,18,582,190,1537,221,249,1495
3059,18,212,45,4731,244,208,1879
2332,3,0,0,342,223,238,1289
1997,18,256,75,450,170,242,808
3192,9,607,56,1040,216,220,2195
2731,23,192,64,212,230,186,1825
3124,15,242,6,331,244,229,2059
2767,20,95,-26,1841,245,203,1590
2938,7,297,66,1699,233,230,2848
2938,22,361,111,1061,249,222,484
3186,9,30,1,1583,194,236,607
2942,13,120,23,3845,220,211,5250
3180,14,258,67,990,241,216,1900
3017,16,201,30,2401,224,204,1981
3034,13,268,54,418,185,227,1503
2003,12,323,82,540,185,236,808
2412,17,108,34,671,171,239,541
2397,25,210,68,150,153,245,553
3115,15,1150,246,2791,223,207,1471
2962,7,376,3,4648,232,237,5307
3182,9,607,173,819,201,226,1978
2896,18,335,70,2706,231,200,3042
3070,25,459,149,3027,172,253,2311
2584,14,351,86,1170,239,214,1598
2915,12,365,-12,769,237,221,2362
2799,24,277,103,1025,149,212,2358
3044,2,42,0,3032,217,235,474
2021,29,30,18,240,135,199,474
3234,8,666,62,4448,226,224,2435
3099,6,365,-21,2202,202,238,2451
3153,9,297,57,1130,231,223,1142
2964,9,595,60,778,233,225,1892
2616,8,192,24,1530,225,223,4851
2197,21,218,76,511,210,188,190
2980,9,30,-4,1140,230,221,1740
2995,9,277,58,4729,235,231,1566
2567,17,210,39,1060,224,248,1182
2984,21,495,146,641,240,236,1947
3041,14,510,174,5948,230,245,4014
2777,9,361,62,2970,211,223,1253
2812,7,170,17,1786,224,224,2522
3071,16,134,5,3881,230,203,693
3087,14,67,7,780,220,208,854
3248,19,384,93,1560,164,221,3013
2464,14,30,1,1230,202,211,1661
2772,3,240,38,1482,217,232,1794
3075,13,379,-12,2173,184,233,674
3043,9,67,-1,2702,236,233,560
3167,3,300,30,2082,221,241,769
2811,8,330,44,2345,235,232,1400
3164,21,531,67,3679,171,202,1611
2417,16,67,24,1233,176,239,828
2942,13,319,10,3623,237,216,5997
3207,20,1001,4,1543,170,208,959
3105,14,90,20,4685,180,231,1381
3079,23,655,38,1273,155,210,892
2818,15,210,35,1909,236,209,1943
2782,23,150,53,3436,151,221,1421
3255,15,630,35,3034,209,207,834
2882,17,541,87,3144,196,206,1364
2994,13,457,38,1414,184,244,1442
3187,13,450,70,684,230,245,2017
3129,13,301,53,1050,189,223,1672
2876,13,170,21,2731,182,233,2359
2915,8,67,5,2135,208,248,1602
2644,4,301,4,997,208,237,874
3276,10,153,19,4170,206,222,1634
2470,12,42,6,738,241,225,454
2832,24,67,-10,2994,249,222,1434
2465,25,210,99,674,170,186,849
3197,16,277,23,577,226,247,2627
3342,15,0,0,4345,193,213,4084
2966,2,558,21,864,222,234,1991
2882,19,212,80,234,248,224,1110
3239,5,323,63,2685,219,244,1031
3102,21,466,125,607,238,194,1501
2862,4,0,0,1678,209,237,1231
2243,31,277,40,691,136,184,939
3294,15,42,17,6091,176,239,335
2528,30,300,134,937,250,179,859
3223,28,541,2,1702,191,252,3550
2990,12,134,27,124,198,219,992
2998,12,85,13,5209,227,246,4986
3175,14,513,137,437,243,227,1747
3098,6,360,97,1930,221,226,2848
3253,14,819,52,2037,189,221,600
2054,32,234,133,258,119,199,516
2412,16,242,71,872,243,232,1298
2274,10,295,64,774,194,229,700
3392,12,108,13,2613,240,232,1233
3208,5,283,-12,6149,208,241,1328
2358,17,180,75,1266,193,206,1073
2726,11,175,8,2774,224,217,812
2853,10,150,17,2954,238,231,2352
2883,5,30,3,1798,212,230,1040
2972,14,212,23,1388,211,252,1493
3112,19,570,71,939,248,212,1879
2872,12,270,-4,451,225,213,1742
3338,13,300,48,2132,207,213,1527
3018,19,95,14,5511,228,197,4444
2834,20,295,86,418,233,195,1380
2669,27,190,85,1860,230,237,1383
2995,32,162,36,4487,253,179,2380
2228,29,60,27,1233,129,222,612
3195,15,255,62,1317,185,218,531
3102,14,524,72,2906,193,251,633
2974,9,60,13,3611,199,227,2460
3425,22,516,143,2356,251,205,2362
3087,13,331,30,1430,185,242,1448
3340,24,124,45,924,246,226,1176
3306,16,842,103,1958,203,205,700
3271,18,127,8,2151,209,199,335
3014,18,323,79,1487,167,229,3221
3145,18,150,39,3805,186,206,3302
2617,12,0,0,1249,227,246,845
2757,5,134,6,1819,221,243,721
2737,2,212,21,1530,222,234,2080
3234,12,540,66,4066,236,219,1988
2990,18,787,192,3013,244,209,684
2296,17,67,21,170,243,232,331
3142,27,700,49,2911,163,185,2643
2962,11,190,32,713,219,215,2282
3218,12,426,11,741,200,251,2130
3070,11,306,86,1761,221,216,3624
3011,13,90,13,6294,234,215,3543
2587,18,162,28,1506,246,227,2434
3089,17,242,43,4737,206,202,750
2972,16,170,17,5086,218,202,2914
3283,28,443,92,2753,165,252,966
3166,16,547,125,2220,201,206,2156
3104,21,313,127,644,246,200,1485
2710,6,95,14,1339,214,246,2257
3473,24,162,66,4055,239,234,4034
2727,18,30,13,437,194,254,2352
3101,10,270,61,2901,222,217,5676
2602,11,218,5,819,204,220,782
2983,5,67,-2,5340,215,229,2446
2991,17,335,-19,3670,213,200,5756
2861,17,67,17,4025,199,254,3482
3114,15,391,23,1431,198,209,3542
2641,12,60,-7,1718,231,243,324
2813,20,108,41,3998,248,209,942
3223,12,258,32,5672,240,232,3107
3164,16,162,26,1195,218,204,4893
2849,12,30,7,2563,237,219,2187
3013,10,42,1,2333,232,242,4004
2260,27,30,2,1682,179,174,895
3043,16,95,26,1235,216,202,2842
3243,5,30,0,6212,223,229,277
3138,2,150,29,1057,218,233,1440
2845,7,0,0,638,220,225,216
2606,22,60,3,1379,165,249,1406
3221,16,150,16,3062,180,248,1104
2991,11,60,2,4428,232,218,1024
3108,13,30,2,2814,220,210,1290
3337,3,666,42,878,217,233,1361
3181,29,67,29,4051,149,180,3466
2844,12,90,32,2501,235,239,1861
3202,16,30,7,3041,174,229,2352
1983,33,210,134,180,128,177,779
2998,8,765,102,5984,198,241,6185
3139,10,95,-1,2420,214,249,931
2533,15,30,7,661,243,232,3308
2823,22,108,4,1172,233,188,2268
2946,11,503,63,2700,214,250,2076
2827,8,42,-3,5465,229,226,4658
3054,10,270,63,5662,227,218,4723
3164,11,480,67,1008,196,248,853
3163,13,120,24,2529,184,229,430
3398,8,582,120,1292,234,232,2782
